text,label
I love this product,positive
This is amazing!,positive
I hate waiting,negative
This is the worst!,negative
I am very happy today,positive
I'm so sad,negative
It's okay,positive
Not good at all,negative
ok,positive
I am fine,positive
I feel fantastic today,positive
This is so frustrating,negative
I enjoyed the movie,positive
The food was awful,negative
What a wonderful surprise,positive
I can't stand this anymore,negative
Everything is going well,positive
I'm completely disappointed,negative
That was a great experience,positive
The weather ruined my day,negative
He did a great job,positive
She is always so rude,negative
This makes me happy,positive
That was a terrible mistake,negative
I'm feeling better now,positive
I regret coming here,negative
Such a lovely moment,positive
This is unacceptable,negative
